source,target,weight,distance,proximity
L1,L1,1.0,0.0,1.0
L2,L1,-0.123380531322,1.0,0.0
L3,L1,0.180424460955,0.819575539045,0.180424460955
L4,L1,-0.0620383902485,1.0,0.0
L5,L1,-0.034931021576,1.0,0.0
L6,L1,-0.0165483704352,1.0,0.0
L7,L1,0.0199046560033,0.980095343997,0.0199046560033
L8,L1,-0.233343426389,1.0,0.0
L9,L1,0.043018181891,0.956981818109,0.043018181891
L10,L1,0.0470166583044,0.952983341696,0.0470166583044
L11,L1,-0.0810047790187,1.0,0.0
L12,L1,0.205432209636,0.794567790364,0.205432209636
L13,L1,0.785595967807,0.214404032193,0.785595967807
L14,L1,-0.0870164881289,1.0,0.0
L15,L1,-0.0230397348032,1.0,0.0
L16,L1,0.176711549498,0.823288450502,0.176711549498
L17,L1,-0.0116356873919,1.0,0.0
L18,L1,-0.282468416144,1.0,0.0
L19,L1,0.0143328359816,0.985667164018,0.0143328359816
L20,L1,-0.0677324077139,1.0,0.0
L21,L1,-0.0562392476232,1.0,0.0
L22,L1,-0.0937932562634,1.0,0.0
L23,L1,0.00576768347728,0.994232316523,0.00576768347728
L24,L1,0.0111230721816,0.988876927818,0.0111230721816
L25,L1,0.0514741413438,0.948525858656,0.0514741413438
L26,L1,0.348768793788,0.651231206212,0.348768793788
L27,L1,-0.0899955922073,1.0,0.0
L28,L1,0.0635002974864,0.936499702514,0.0635002974864
L29,L1,-0.00824299731289,1.0,0.0
L30,L1,-0.0965750710091,1.0,0.0
L31,L1,-0.00920755148471,1.0,0.0
L32,L1,-0.080323647234,1.0,0.0
L33,L1,-0.0723761446338,1.0,0.0
L34,L1,0.0173622290386,0.982637770961,0.0173622290386
L35,L1,0.435336648547,0.564663351453,0.435336648547
L36,L1,-0.153623514657,1.0,0.0
L37,L1,-0.138394753571,1.0,0.0
L38,L1,-0.128136344739,1.0,0.0
L39,L1,-0.178778272981,1.0,0.0
L40,L1,-0.17237397934,1.0,0.0
L41,L1,0.097094988556,0.902905011444,0.097094988556
L42,L1,-0.179836423426,1.0,0.0
L43,L1,-0.0715838864867,1.0,0.0
L44,L1,-0.156637250595,1.0,0.0
L45,L1,-0.183510152177,1.0,0.0
L46,L1,-0.228682530494,1.0,0.0
L47,L1,-0.00905518996775,1.0,0.0
L48,L1,-0.158954152287,1.0,0.0
L49,L1,-0.139467924626,1.0,0.0
L50,L1,-0.0793458294886,1.0,0.0
L51,L1,0.0528502542376,0.947149745762,0.0528502542376
L52,L1,-0.0878662575841,1.0,0.0
L53,L1,-0.0696067844847,1.0,0.0
L54,L1,-0.0530431527397,1.0,0.0
L55,L1,0.0048782525315,0.995121747468,0.0048782525315
L56,L1,0.110676897239,0.889323102761,0.110676897239
L57,L1,-0.10605260434,1.0,0.0
L58,L1,-0.0308536945179,1.0,0.0
L59,L1,-0.103951722282,1.0,0.0
L60,L1,-0.0303556179224,1.0,0.0
L61,L1,0.207786067633,0.792213932367,0.207786067633
L62,L1,-0.0129428414959,1.0,0.0
L63,L1,-0.0823926943198,1.0,0.0
L64,L1,-0.170893263281,1.0,0.0
L65,L1,-0.183929073695,1.0,0.0
L66,L1,0.0613432461509,0.938656753849,0.0613432461509
L67,L1,0.712133167074,0.287866832926,0.712133167074
L68,L1,-0.0519223872658,1.0,0.0
L69,L1,-0.036222798122,1.0,0.0
L70,L1,-0.21651337,1.0,0.0
L71,L1,-0.042730866955,1.0,0.0
L72,L1,-0.147821401905,1.0,0.0
L73,L1,-0.0602174693464,1.0,0.0
L74,L1,-0.0229165418276,1.0,0.0
L75,L1,-0.0353570122648,1.0,0.0
L76,L1,0.0586696731356,0.941330326864,0.0586696731356
L77,L1,-0.00687409370777,1.0,0.0
L78,L1,0.0421972093156,0.957802790684,0.0421972093156
L79,L1,-0.00326039424698,1.0,0.0
L80,L1,0.0277367076385,0.972263292361,0.0277367076385
L81,L1,0.0074333015637,0.992566698436,0.0074333015637
L82,L1,-0.0162810911376,1.0,0.0
L83,L1,0.151668449203,0.848331550797,0.151668449203
L84,L1,-0.103601650422,1.0,0.0
L85,L1,-0.104721804006,1.0,0.0
L86,L1,-0.134156248162,1.0,0.0
L87,L1,-0.0677001569561,1.0,0.0
L88,L1,0.384854085014,0.615145914986,0.384854085014
L89,L1,0.564989276568,0.435010723432,0.564989276568
L90,L1,-0.0537324732041,1.0,0.0
L91,L1,-0.242603971188,1.0,0.0
L92,L1,-0.128389839927,1.0,0.0
L93,L1,-0.10709348399,1.0,0.0
L94,L1,0.142732039484,0.857267960516,0.142732039484
L95,L1,-0.0691841479553,1.0,0.0
L96,L1,0.0960925378878,0.903907462112,0.0960925378878
L97,L1,-0.0143290049086,1.0,0.0
L98,L1,0.593834626742,0.406165373258,0.593834626742
L99,L1,0.645586215234,0.354413784766,0.645586215234
L100,L1,-0.180064745048,1.0,0.0
L101,L1,-0.0388834076531,1.0,0.0
L102,L1,-0.15616687249,1.0,0.0
L103,L1,0.519240368178,0.480759631822,0.519240368178
L104,L1,0.612187608041,0.387812391959,0.612187608041
L105,L1,0.842141464455,0.157858535545,0.842141464455
L106,L1,-0.0603325119004,1.0,0.0
L107,L1,-0.118106901494,1.0,0.0
L108,L1,-0.0585649510901,1.0,0.0
L109,L1,-0.0145300206534,1.0,0.0
L110,L1,-0.15656953718,1.0,0.0
L111,L1,-0.0701465374712,1.0,0.0
L112,L1,-0.0949779017185,1.0,0.0
L113,L1,-0.103204198095,1.0,0.0
L114,L1,-0.0203951937905,1.0,0.0
L115,L1,-0.24543548361,1.0,0.0
L116,L1,-0.107043202675,1.0,0.0
L117,L1,-0.022557967376,1.0,0.0
L118,L1,-0.205474214937,1.0,0.0
L119,L1,-0.0503343880928,1.0,0.0
L120,L1,-0.108842005271,1.0,0.0
L121,L1,-0.0550495798184,1.0,0.0
L122,L1,-0.0400238273916,1.0,0.0
L123,L1,-0.0913060737263,1.0,0.0
L124,L1,-0.0497091501859,1.0,0.0
L125,L1,0.229398262391,0.770601737609,0.229398262391
L126,L1,-0.0136594645297,1.0,0.0
L127,L1,0.124007644545,0.875992355455,0.124007644545
L128,L1,-0.191703458425,1.0,0.0
L129,L1,-0.107869792274,1.0,0.0
L130,L1,-0.12661161859,1.0,0.0
L131,L1,-0.109203258633,1.0,0.0
